id,customer_name,restaurant_name,cuisine_type,location,price_range,rating,liked
6,Priya Gupta,Bangalore Bites,Indian,Marathahalli,1456,4.0,0
6,Aarav Singh,Bangalore Dosa,Indian,Marathahalli,1429,4.2,0
13,Vinay Kumar,Bangalore Rolls,American,Koramangala,1155,3.8,0
4,Mira Gupta,Bangalore Rolls,Indian,Bellandur,1130,3.9,0
3,Ravi Verma,Spice Villa,Indian,Banashankari,1521,4.5,0
13,Vinay Kumar,Bangalore Thali,Indian,Whitefield,1079,4.2,0
14,Priya Gupta,Bangalore Dosa,American,Malleswaram,1800,4.4,1
15,Aisha Khan,Bangalore Pasta,Italian,Domlur,1800,4.6,1
12,Priya Gupta,Spice Villa,Mediterranean,Malleswaram,1173,3.8,0
5,Ananya Patel,Bangalore Paratha,Italian,Malleswaram,1800,4.4,1
15,Sophia Singh,Bangalore Rolls,Italian,Electronic City,1694,4.7,1
10,Nisha Patel,Bangalore Paratha,Indian,Domlur,1540,4.4,1
5,Kumar Patel,Bangalore Dosa,Indian,Banashankari,1051,4.1,0
8,Kumar Patel,Bangalore Pancake,Indian,Jayanagar,1139,4.6,1
14,Aisha Khan,Bengaluru Grill,Mediterranean,Koramangala,1800,4.3,1
13,Vinay Kumar,Spice Villa,Indian,Koramangala,1132,3.8,0
12,Megha Singh,Bengaluru Grill,Italian,Jayanagar,1571,4.3,1
9,Vinay Kumar,Bangalore Masala,Indian,Banashankari,1000,4.0,0
4,Rajesh Kumar,Bangalore Thali,Indian,Whitefield,1550,4.5,1
12,Jyothi Reddy,Bangalore Pizza,Italian,Koramangala,1797,4.7,1
13,Jyothi Reddy,Bangalore Sandwich,Indian,Jayanagar,1800,4.6,1
11,Ananya Patel,Bengaluru Grill,Indian,Indiranagar,1548,4.4,1
10,Vinay Kumar,Bangalore Biryani,Italian,Banashankari,1262,3.8,0
2,Ananya Patel,Bangalore Pasta,Indian,Indiranagar,1537,4.4,1
1,Kavita Naidu,Bangalore Pancake,Indian,Jayanagar,1800,4.3,1
15,Vinay Kumar,Bangalore Burger,American,Hebbal,1182,3.9,0
11,Kumar Patel,Bangalore Masala,Indian,Koramangala,1755,4.5,1
5,Ananya Patel,Bangalore Masala,Indian,Marathahalli,1519,4.5,1
3,Vinay Kumar,Bangalore Masala,Indian,Marathahalli,1105,4.0,0
3,Kavita Naidu,Bangalore Dosa,Indian,Bellandur,1117,3.9,0
12,Vinay Kumar,Bangalore Pancake,Mediterranean,Koramangala,1063,3.9,0
13,Rakesh Singh,Bangalore Pizza,Japanese,Malleswaram,1616,4.4,1
6,Aisha Khan,Bangalore Paratha,Mediterranean,Domlur,1774,3.9,1
1,Ananya Patel,Spice Villa,Indian,Malleswaram,1078,3.8,0
2,Ananya Patel,Bangalore Dosa,Indian,Jayanagar,1200,4.4,0
13,Rakesh Singh,Bangalore Rolls,Indian,Banashankari,1287,4.4,0
5,Jyothi Reddy,Bangalore Pizza,Indian,Banashankari,1422,4.4,1
4,Vinay Kumar,Bengaluru Grill,Indian,Banashankari,1486,3.8,0
8,Megha Singh,Bangalore Rolls,Italian,Koramangala,1557,4.4,1
4,Kavita Naidu,Bangalore Biryani,Italian,Electronic City,1528,4.2,1
4,Kumar Patel,Bangalore Rolls,Indian,Banashankari,1230,3.8,0
7,Kavita Naidu,Bangalore Paratha,Indian,Bellandur,1472,4.4,1
15,Priya Gupta,Bengaluru Grill,Italian,Koramangala,1725,4.6,1
4,Kumar Patel,Bangalore Burger,Indian,Bellandur,1159,3.8,0
10,Mira Gupta,Bangalore Bites,American,Malleswaram,1800,4.5,1
10,Rakesh Singh,Spice Villa,Mediterranean,Hebbal,1210,3.9,0
15,Vinay Kumar,Bangalore Masala,Indian,Bellandur,1217,3.9,0
5,Jyothi Reddy,Bangalore Bites,Indian,Domlur,1547,4.7,1
2,Rakesh Singh,Bangalore Burger,Indian,Koramangala,1720,4.2,1
12,Rajesh Kumar,Bangalore Bites,Indian,Indiranagar,1764,4.5,1
13,Mira Gupta,Bangalore Rolls,Indian,Hebbal,1205,4.1,0
11,Vinay Kumar,Bangalore Paratha,Mediterranean,Bommanahalli,1174,3.8,0
12,Nisha Patel,Bangalore Masala,Indian,Domlur,1602,4.3,1
9,Rakesh Singh,Bangalore Rolls,American,Marathahalli,1174,4.5,1
7,Megha Singh,Bangalore Sushi,Indian,Koramangala,1800,3.8,1
13,Ananya Patel,Bangalore Sandwich,Indian,Marathahalli,1799,4.6,1
2,Aisha Khan,Bangalore Paratha,Indian,Indiranagar,1800,4.6,1
10,Megha Singh,Bangalore Bites,Japanese,Bommanahalli,1489,4.5,1
12,Aarav Singh,Bangalore Dosa,Indian,Whitefield,1203,4.2,0
10,Aisha Khan,Bangalore Pasta,Indian,Indiranagar,1470,4.5,1
15,Aisha Khan,Bangalore Rolls,Indian,Banashankari,1152,4.6,1
7,Aisha Khan,Bangalore Pasta,Indian,Marathahalli,1596,4.6,1
4,Mira Gupta,Bangalore Bites,Indian,Electronic City,1577,4.5,1
15,Aarav Singh,Bangalore Paratha,Mediterranean,Jayanagar,1505,4.4,0
15,Megha Singh,Bangalore Paratha,Italian,Domlur,1800,4.5,1
10,Mira Gupta,Spice Villa,Indian,Whitefield,1189,4.0,0
15,Rajesh Kumar,Bangalore Pizza,Italian,Koramangala,1799,4.4,1
7,Kumar Patel,Bangalore Rolls,Indian,Koramangala,1000,3.9,0
13,Megha Singh,Bangalore Paratha,Mediterranean,Domlur,1553,4.5,1
13,Jyothi Reddy,Bangalore Paratha,Indian,Koramangala,1740,4.4,1
11,Kumar Patel,Bangalore Sandwich,American,Domlur,1800,4.5,0
1,Sophia Singh,Bangalore Thali,Indian,Indiranagar,1572,4.7,1
11,Ananya Patel,Bangalore Pancake,American,Banashankari,1138,4.1,0
1,Megha Singh,Bangalore Dosa,Indian,Electronic City,1774,3.8,0
15,Ananya Patel,Bangalore Paratha,Italian,Indiranagar,1465,4.2,1
11,Aisha Khan,Spice Villa,Italian,Koramangala,1800,4.4,1
14,Aisha Khan,Bangalore Thali,Indian,Bommanahalli,1121,3.8,0
5,Jyothi Reddy,Bangalore Masala,Indian,Koramangala,1487,3.8,1
3,Megha Singh,Bangalore Bites,Indian,Koramangala,1198,3.8,0
5,Aarav Singh,Spice Villa,Mediterranean,Bommanahalli,1130,3.8,0
4,Vinay Kumar,Bangalore Rolls,Indian,Indiranagar,1039,3.8,0
15,Rakesh Singh,Bangalore Pancake,Indian,Marathahalli,1117,3.9,0
7,Sophia Singh,Bangalore Masala,Indian,Jayanagar,1800,4.6,1
3,Kavita Naidu,Bangalore Sandwich,Indian,Whitefield,1184,3.8,0
8,Ravi Verma,Bangalore Masala,Indian,Hebbal,1079,4.4,0
15,Nisha Patel,Bangalore Burger,American,Koramangala,1151,3.9,0
6,Aisha Khan,Bangalore Bites,Indian,Marathahalli,1481,4.4,1
15,Kumar Patel,Bangalore Pancake,Italian,Bellandur,1800,3.9,0
15,Megha Singh,Bangalore Sandwich,Italian,Koramangala,1610,4.0,0
15,Priya Gupta,Bangalore Sushi,Italian,Electronic City,1698,4.4,1
14,Priya Gupta,Bangalore Sushi,Italian,Bellandur,1800,4.5,1
6,Aarav Singh,Bangalore Sandwich,Mediterranean,Hebbal,1141,3.9,0
13,Rajesh Kumar,Bangalore Dosa,American,Banashankari,1138,4.0,0
6,Ravi Verma,Bangalore Burger,Indian,Jayanagar,1288,3.8,0
14,Megha Singh,Bangalore Biryani,Indian,Koramangala,1754,4.7,1
11,Vinay Kumar,Bangalore Sushi,Mediterranean,Koramangala,1673,4.3,0
10,Jyothi Reddy,Bangalore Sushi,Indian,Banashankari,1446,4.4,1
1,Aisha Khan,Bangalore Bites,Indian,Bellandur,1576,3.9,0
2,Priya Gupta,Bangalore Pizza,Italian,Banashankari,1504,4.7,1
13,Kumar Patel,Bengaluru Grill,Indian,Bommanahalli,1109,3.8,0
15,Aarav Singh,Bangalore Sandwich,American,Hebbal,1246,4.0,0
3,Ananya Patel,Bengaluru Grill,Indian,Indiranagar,1099,4.1,0
2,Vinay Kumar,Spice Villa,Indian,Banashankari,1207,4.0,1
13,Aisha Khan,Bangalore Burger,Indian,Jayanagar,1800,4.0,0
3,Ravi Verma,Bangalore Rolls,Indian,Banashankari,1319,4.1,0
10,Kavita Naidu,Bangalore Sushi,Indian,Marathahalli,1577,4.0,1
14,Vinay Kumar,Bangalore Thali,Indian,Malleswaram,1483,4.4,1
4,Mira Gupta,Bangalore Sandwich,Indian,Domlur,1508,4.4,1
14,Kumar Patel,Bangalore Burger,Indian,Bellandur,1186,4.1,0
15,Priya Gupta,Bangalore Pizza,Italian,Marathahalli,1792,4.6,1
2,Mira Gupta,Bangalore Biryani,Indian,Banashankari,1102,4.0,0
11,Kumar Patel,Bangalore Masala,Italian,Banashankari,1356,4.4,0
15,Aisha Khan,Bangalore Sushi,Indian,Jayanagar,1800,4.4,1
10,Ananya Patel,Bangalore Sushi,American,Domlur,1196,4.6,1
14,Nisha Patel,Bangalore Pasta,Mediterranean,Koramangala,1592,4.7,1
13,Jyothi Reddy,Bangalore Sandwich,American,Koramangala,1495,4.3,1
8,Ananya Patel,Bangalore Dosa,Italian,Bommanahalli,1511,3.9,1
9,Sophia Singh,Bangalore Dosa,Indian,Indiranagar,1517,4.3,1
11,Megha Singh,Bengaluru Grill,American,Jayanagar,1563,4.5,1
13,Aarav Singh,Bangalore Masala,American,Banashankari,1187,3.9,0
15,Megha Singh,Bangalore Bites,Japanese,Malleswaram,1800,4.6,1
15,Ravi Verma,Bangalore Burger,American,Bommanahalli,1090,3.8,0
11,Priya Gupta,Bangalore Paratha,Italian,Domlur,1800,4.3,1
1,Rakesh Singh,Bangalore Pasta,Indian,Bellandur,1173,3.8,0
4,Nisha Patel,Bangalore Paratha,Indian,Jayanagar,1774,4.3,1
6,Jyothi Reddy,Bangalore Paratha,Indian,Bellandur,1755,4.6,1
11,Aisha Khan,Bangalore Pancake,Indian,Indiranagar,1787,4.7,1
15,Sophia Singh,Bangalore Sushi,Indian,Malleswaram,1800,4.4,1
9,Kumar Patel,Bangalore Masala,Indian,Koramangala,1760,4.7,1
4,Aarav Singh,Bangalore Rolls,Indian,Bommanahalli,1078,3.8,0
13,Rajesh Kumar,Bangalore Bites,Japanese,Domlur,1140,4.5,1
6,Priya Gupta,Spice Villa,Indian,Whitefield,1790,3.9,1
15,Priya Gupta,Bangalore Pasta,Italian,Marathahalli,1742,4.6,1
1,Sophia Singh,Bangalore Pasta,Indian,Koramangala,1800,4.4,1
10,Kavita Naidu,Bangalore Thali,Indian,Jayanagar,1800,4.5,1
8,Nisha Patel,Bangalore Rolls,Indian,Jayanagar,1181,3.8,1
13,Megha Singh,Bangalore Biryani,Indian,Jayanagar,1796,4.5,1
15,Megha Singh,Bangalore Thali,Indian,Koramangala,1549,4.3,1
2,Rajesh Kumar,Bangalore Thali,American,Banashankari,1364,3.8,0
5,Megha Singh,Bangalore Pasta,Italian,Koramangala,1507,4.4,1
3,Mira Gupta,Bangalore Rolls,Indian,Banashankari,1225,3.8,0
6,Aarav Singh,Bangalore Burger,American,Bellandur,1104,3.8,0
10,Aarav Singh,Bangalore Pancake,Indian,Hebbal,1800,4.3,0
8,Rajesh Kumar,Bangalore Sandwich,Indian,Hebbal,1170,4.7,0
12,Kumar Patel,Bangalore Pasta,American,Bellandur,1130,4.0,0
7,Jyothi Reddy,Bangalore Pancake,Indian,Jayanagar,1581,3.9,0
8,Rakesh Singh,Spice Villa,Indian,Koramangala,1282,4.4,1
7,Megha Singh,Bangalore Paratha,Italian,Electronic City,1778,4.4,1
2,Sophia Singh,Bengaluru Grill,Indian,Malleswaram,1760,4.4,1
12,Vinay Kumar,Bangalore Sandwich,Japanese,Koramangala,1110,3.9,1
15,Aisha Khan,Bangalore Masala,Indian,Jayanagar,1601,4.3,1
13,Sophia Singh,Bangalore Sushi,Italian,Whitefield,1543,4.6,1
7,Mira Gupta,Bangalore Dosa,American,Koramangala,1162,4.5,0
5,Kavita Naidu,Bengaluru Grill,Indian,Electronic City,1524,4.4,1
8,Megha Singh,Bangalore Dosa,Indian,Bommanahalli,1173,4.6,1
11,Ravi Verma,Bangalore Sandwich,American,Hebbal,1189,3.9,0
1,Nisha Patel,Bangalore Burger,Indian,Banashankari,1765,4.3,0
9,Jyothi Reddy,Bangalore Sandwich,Mediterranean,Indiranagar,1547,4.6,1
10,Ananya Patel,Bangalore Biryani,Indian,Whitefield,1800,4.4,1
7,Mira Gupta,Bangalore Sushi,Indian,Malleswaram,1496,4.0,1
12,Aarav Singh,Bangalore Sushi,American,Hebbal,1140,4.0,0
10,Aarav Singh,Bangalore Pancake,American,Electronic City,1101,3.8,0
3,Sophia Singh,Bangalore Biryani,Mediterranean,Jayanagar,1192,4.2,0
3,Megha Singh,Spice Villa,Indian,Indiranagar,1172,4.3,1
15,Nisha Patel,Bangalore Sandwich,Italian,Marathahalli,1104,3.9,0
7,Sophia Singh,Bengaluru Grill,Indian,Malleswaram,1519,4.5,1
12,Kavita Naidu,Bangalore Pizza,Indian,Domlur,1800,4.4,1
12,Rakesh Singh,Bangalore Rolls,American,Hebbal,1117,4.0,0
15,Aarav Singh,Bangalore Burger,American,Hebbal,1134,4.1,0
7,Nisha Patel,Bangalore Biryani,Indian,Banashankari,1475,4.3,1
5,Jyothi Reddy,Bangalore Sandwich,Indian,Whitefield,1520,4.3,1
12,Aarav Singh,Bangalore Sandwich,Indian,Koramangala,1137,3.9,0
7,Jyothi Reddy,Bangalore Pasta,American,Hebbal,1758,4.7,1
12,Megha Singh,Bangalore Dosa,Japanese,Indiranagar,1800,4.7,1
4,Vinay Kumar,Bangalore Paratha,Indian,Bellandur,1063,3.9,0
11,Rajesh Kumar,Bangalore Dosa,Indian,Indiranagar,1550,4.3,1
11,Sophia Singh,Spice Villa,Indian,Jayanagar,1558,4.7,1
12,Vinay Kumar,Bangalore Pancake,American,Jayanagar,1035,3.9,0
14,Kavita Naidu,Bangalore Bites,Italian,Jayanagar,1684,4.5,1
5,Kavita Naidu,Bangalore Pasta,Indian,Bellandur,1243,4.5,1
11,Mira Gupta,Bangalore Paratha,Indian,Bommanahalli,1451,4.6,1
2,Kavita Naidu,Bangalore Thali,Indian,Bommanahalli,1784,4.3,1
11,Nisha Patel,Bengaluru Grill,Indian,Jayanagar,1757,4.4,1
4,Sophia Singh,Bangalore Pasta,Indian,Electronic City,1795,4.4,1
13,Vinay Kumar,Bangalore Pancake,Mediterranean,Koramangala,1143,3.8,0
12,Megha Singh,Bangalore Pancake,Indian,Bellandur,1474,3.8,1
15,Kumar Patel,Bangalore Sandwich,American,Koramangala,1214,3.9,0
5,Rajesh Kumar,Bangalore Pasta,Indian,Whitefield,1000,4.0,0
15,Rajesh Kumar,Bangalore Burger,Indian,Jayanagar,1185,3.9,0
9,Jyothi Reddy,Bangalore Pasta,Indian,Malleswaram,1439,4.2,1
7,Megha Singh,Bangalore Bites,Indian,Banashankari,1800,4.2,1
9,Priya Gupta,Bangalore Paratha,Indian,Bellandur,1054,3.8,0
15,Kumar Patel,Bangalore Burger,American,Banashankari,1139,3.9,0
5,Nisha Patel,Bangalore Sushi,Indian,Marathahalli,1741,4.6,1
11,Mira Gupta,Bangalore Rolls,Italian,Domlur,1082,3.8,0
13,Aarav Singh,Bangalore Thali,Indian,Malleswaram,1800,4.1,1
11,Kumar Patel,Bangalore Sushi,Indian,Domlur,1800,4.7,1
13,Nisha Patel,Bangalore Sushi,Italian,Malleswaram,1329,4.3,1
14,Kumar Patel,Bangalore Burger,American,Hebbal,1286,3.8,0
8,Rakesh Singh,Bangalore Pancake,Indian,Indiranagar,1199,4.3,0
13,Kumar Patel,Bangalore Burger,American,Hebbal,1256,3.9,0
3,Ananya Patel,Bangalore Pizza,Indian,Domlur,1800,3.8,1
13,Aisha Khan,Bangalore Paratha,Indian,Domlur,1800,4.0,1
8,Priya Gupta,Bengaluru Grill,Indian,Bellandur,1000,3.9,0
6,Rajesh Kumar,Bangalore Bites,Indian,Electronic City,1473,4.4,1
9,Kavita Naidu,Bangalore Paratha,Indian,Marathahalli,1800,4.2,1
10,Ravi Verma,Bangalore Pancake,Italian,Banashankari,1149,4.0,0
11,Kavita Naidu,Bangalore Thali,Indian,Marathahalli,1426,4.2,1
12,Mira Gupta,Spice Villa,Indian,Bommanahalli,1282,4.0,0
15,Sophia Singh,Bengaluru Grill,Japanese,Marathahalli,1494,4.2,1
12,Aisha Khan,Bangalore Masala,Indian,Jayanagar,1148,4.6,1
14,Kavita Naidu,Bangalore Pasta,Indian,Banashankari,1134,4.5,1
6,Ravi Verma,Bangalore Rolls,American,Malleswaram,1492,3.9,1
7,Rajesh Kumar,Bangalore Bites,Indian,Hebbal,1062,4.0,0
12,Megha Singh,Bangalore Paratha,Indian,Electronic City,1727,4.4,1
4,Kavita Naidu,Bangalore Bites,Indian,Marathahalli,1008,3.8,1
1,Ananya Patel,Bangalore Masala,Indian,Marathahalli,1143,4.1,0
9,Vinay Kumar,Bangalore Sandwich,American,Banashankari,1257,3.8,0
11,Aisha Khan,Bangalore Paratha,Indian,Domlur,1532,4.4,1
14,Vinay Kumar,Bangalore Sandwich,American,Bellandur,1210,3.9,0
13,Vinay Kumar,Bangalore Sandwich,Japanese,Koramangala,1217,4.0,1
8,Rakesh Singh,Bangalore Sushi,Japanese,Indiranagar,1800,3.9,1
5,Ananya Patel,Spice Villa,Indian,Jayanagar,1800,4.6,1
12,Jyothi Reddy,Bangalore Paratha,Indian,Marathahalli,1047,3.8,1
13,Vinay Kumar,Bangalore Sandwich,Indian,Domlur,1273,3.9,1
4,Aisha Khan,Bangalore Rolls,Indian,Whitefield,1545,4.4,1
11,Aarav Singh,Spice Villa,American,Hebbal,1172,3.9,0
13,Vinay Kumar,Bangalore Sushi,Japanese,Domlur,1800,4.6,1
5,Nisha Patel,Bangalore Pizza,Indian,Koramangala,1800,4.7,1
15,Jyothi Reddy,Bangalore Paratha,Indian,Malleswaram,1733,4.7,1
9,Rakesh Singh,Bangalore Thali,Italian,Malleswaram,1800,4.3,1
5,Kavita Naidu,Bangalore Burger,Indian,Banashankari,1037,3.9,0
10,Aarav Singh,Bangalore Paratha,American,Koramangala,1090,4.4,1
10,Vinay Kumar,Bangalore Bites,Indian,Banashankari,1520,4.5,0
12,Kumar Patel,Bangalore Pancake,Mediterranean,Bellandur,1075,3.8,0
11,Rajesh Kumar,Bangalore Pizza,Indian,Malleswaram,1744,4.4,1
5,Ravi Verma,Bangalore Burger,Indian,Malleswaram,1070,4.4,1
15,Vinay Kumar,Bangalore Sandwich,Indian,Banashankari,1057,4.0,0
6,Aisha Khan,Bengaluru Grill,Indian,Marathahalli,1585,4.5,1
3,Sophia Singh,Bangalore Bites,Indian,Electronic City,1500,4.4,1
9,Sophia Singh,Bengaluru Grill,Italian,Whitefield,1282,4.2,1
3,Rakesh Singh,Bangalore Masala,Indian,Bommanahalli,1210,4.0,0
14,Nisha Patel,Bangalore Rolls,Indian,Koramangala,1800,4.4,1
11,Kumar Patel,Bangalore Sandwich,American,Koramangala,1161,3.8,0
4,Ananya Patel,Bangalore Sandwich,Mediterranean,Marathahalli,1151,3.8,0
14,Priya Gupta,Bangalore Sushi,Italian,Electronic City,1800,4.4,1
3,Sophia Singh,Bangalore Pizza,Indian,Malleswaram,1800,4.4,1
6,Sophia Singh,Bangalore Pasta,Indian,Indiranagar,1784,4.5,1
9,Aarav Singh,Bangalore Burger,Mediterranean,Hebbal,1207,3.8,0
13,Megha Singh,Bengaluru Grill,Indian,Electronic City,1800,4.5,1
8,Aisha Khan,Bengaluru Grill,Indian,Bommanahalli,1800,4.6,1
12,Vinay Kumar,Bangalore Burger,American,Bommanahalli,1000,3.9,0
10,Jyothi Reddy,Bangalore Bites,Indian,Koramangala,1800,4.1,1
6,Aarav Singh,Bangalore Sandwich,Mediterranean,Banashankari,1200,3.8,0
5,Jyothi Reddy,Bangalore Thali,Indian,Jayanagar,1462,4.5,1
15,Jyothi Reddy,Bangalore Paratha,Italian,Koramangala,1525,4.6,1
8,Megha Singh,Bengaluru Grill,Indian,Koramangala,1800,4.4,1
10,Sophia Singh,Bangalore Pizza,Indian,Indiranagar,1464,4.6,1
2,Mira Gupta,Bangalore Thali,Indian,Bellandur,1653,4.2,0
5,Vinay Kumar,Spice Villa,Indian,Bellandur,1280,4.0,0
1,Ananya Patel,Bangalore Masala,Indian,Jayanagar,1175,4.4,1
4,Rajesh Kumar,Bangalore Dosa,Indian,Koramangala,1223,3.8,0
13,Aarav Singh,Bangalore Burger,Indian,Bellandur,1084,4.1,0
15,Rajesh Kumar,Bangalore Burger,Indian,Koramangala,1275,3.8,0
11,Kavita Naidu,Bangalore Pizza,Indian,Koramangala,1125,4.4,1
15,Jyothi Reddy,Bangalore Pasta,Indian,Koramangala,1800,4.7,1
15,Kumar Patel,Bangalore Pancake,Japanese,Jayanagar,1773,4.4,1
15,Aisha Khan,Bangalore Pizza,Italian,Domlur,1709,4.6,1
5,Mira Gupta,Bangalore Pasta,Indian,Marathahalli,1464,4.7,1
4,Aarav Singh,Bengaluru Grill,American,Banashankari,1167,3.9,0
12,Nisha Patel,Bangalore Thali,Indian,Indiranagar,1800,4.6,1
15,Priya Gupta,Bangalore Bites,Italian,Jayanagar,1792,4.7,1
1,Megha Singh,Bengaluru Grill,American,Jayanagar,1773,4.0,1
12,Kumar Patel,Bangalore Pizza,Japanese,Banashankari,1186,4.0,0
12,Nisha Patel,Bangalore Pasta,Japanese,Malleswaram,1484,4.7,1
6,Nisha Patel,Bangalore Sandwich,Indian,Bommanahalli,1785,4.0,0
8,Ananya Patel,Bangalore Bites,Indian,Koramangala,1253,4.4,0
3,Rajesh Kumar,Bangalore Masala,Indian,Whitefield,1214,3.8,0
10,Mira Gupta,Bangalore Dosa,American,Bellandur,1141,3.9,0
4,Kavita Naidu,Bangalore Biryani,Indian,Hebbal,1800,4.6,0
15,Megha Singh,Bangalore Pizza,Italian,Jayanagar,1771,4.4,1
10,Jyothi Reddy,Bangalore Paratha,Indian,Domlur,1091,4.0,0
9,Ananya Patel,Bangalore Masala,Indian,Indiranagar,1193,3.9,0
12,Kumar Patel,Bangalore Rolls,American,Hebbal,1135,3.8,0
7,Mira Gupta,Bangalore Biryani,Indian,Jayanagar,1037,4.6,1
11,Kumar Patel,Bangalore Pancake,Indian,Hebbal,1195,3.9,0
15,Rakesh Singh,Bangalore Masala,Indian,Jayanagar,1020,3.8,0
11,Nisha Patel,Bangalore Dosa,Indian,Koramangala,1800,4.4,1
14,Sophia Singh,Bangalore Paratha,Indian,Banashankari,1716,4.5,1
10,Rakesh Singh,Bangalore Pasta,Italian,Banashankari,1690,4.2,1
10,Mira Gupta,Bangalore Masala,Mediterranean,Hebbal,1089,3.8,0
3,Ananya Patel,Bangalore Biryani,Indian,Bommanahalli,1800,4.3,1
1,Vinay Kumar,Bangalore Bites,Indian,Malleswaram,1000,4.1,0
3,Ananya Patel,Bangalore Pancake,Indian,Whitefield,1454,4.3,1
